category,yyyy,mm,platform_type,gmv
기타서비스,2018,03,web,32485
기타,2018,03,web,129620
컴퓨터 및 주변기기,2018,04,mobile,165240
가전·전자·통신기기,2018,04,mobile,524596
서적,2018,04,mobile,52865
사무·문구,2018,04,mobile,26145
의복,2018,04,mobile,630323
신발,2018,04,mobile,113580
가방,2018,04,mobile,136272
패션용품 및 액세서리,2018,04,mobile,131549
스포츠·레저용품,2018,04,mobile,169509
화장품,2018,04,mobile,438758
아동·유아용품,2018,04,mobile,234743
음·식료품,2018,04,mobile,525617
농축수산물,2018,04,mobile,144262
생활용품,2018,04,mobile,437644
자동차 및 자동차용품,2018,04,mobile,49851
가구,2018,04,mobile,165191
애완용품,2018,04,mobile,47974
여행 및 교통서비스,2018,04,mobile,731940
문화 및 레저서비스,2018,04,mobile,97095
e쿠폰서비스,2018,04,mobile,112090
음식서비스,2018,04,mobile,318369
기타서비스,2018,04,mobile,33421
기타,2018,04,mobile,118425
컴퓨터 및 주변기기,2018,04,web,243815
가전·전자·통신기기,2018,04,web,420663
서적,2018,04,web,91304
사무·문구,2018,04,web,41862
의복,2018,04,web,447945
신발,2018,04,web,55859
가방,2018,04,web,49197
패션용품 및 액세서리,2018,04,web,64739
스포츠·레저용품,2018,04,web,129065
화장품,2018,04,web,363671
아동·유아용품,2018,04,web,85677
음·식료품,2018,04,web,284398
농축수산물,2018,04,web,71138
생활용품,2018,04,web,272221
자동차 및 자동차용품,2018,04,web,32750
가구,2018,04,web,95591
애완용품,2018,04,web,22363
여행 및 교통서비스,2018,04,web,588518
문화 및 레저서비스,2018,04,web,67870
e쿠폰서비스,2018,04,web,21048
음식서비스,2018,04,web,47587
기타서비스,2018,04,web,28747
기타,2018,04,web,102789
컴퓨터 및 주변기기,2018,05,mobile,166676
가전·전자·통신기기,2018,05,mobile,578323
서적,2018,05,mobile,47734
사무·문구,2018,05,mobile,24464
의복,2018,05,mobile,648036
신발,2018,05,mobile,115010
가방,2018,05,mobile,142386
패션용품 및 액세서리,2018,05,mobile,131286
스포츠·레저용품,2018,05,mobile,193374
화장품,2018,05,mobile,457152
아동·유아용품,2018,05,mobile,225249
음·식료품,2018,05,mobile,553977
농축수산물,2018,05,mobile,148502
생활용품,2018,05,mobile,456275
자동차 및 자동차용품,2018,05,mobile,51080
가구,2018,05,mobile,163161
애완용품,2018,05,mobile,47039
여행 및 교통서비스,2018,05,mobile,796285
문화 및 레저서비스,2018,05,mobile,91742
e쿠폰서비스,2018,05,mobile,137108
음식서비스,2018,05,mobile,355920
기타서비스,2018,05,mobile,29302
기타,2018,05,mobile,117098
컴퓨터 및 주변기기,2018,05,web,237559
가전·전자·통신기기,2018,05,web,447810
서적,2018,05,web,81391
사무·문구,2018,05,web,39157
의복,2018,05,web,453370
신발,2018,05,web,57571
가방,2018,05,web,48223
패션용품 및 액세서리,2018,05,web,66788
스포츠·레저용품,2018,05,web,137411
화장품,2018,05,web,361374
아동·유아용품,2018,05,web,85549
음·식료품,2018,05,web,295067
농축수산물,2018,05,web,73233
